Name(IUPAC),Common_name,Cas,functional group,Odor Type,Odor description (Goodscents),Flavor Type,Flavor description (Goodscents),FEMA #,FEMA description,Thershold (odor)
ethenoxyethane,ethyl vinyl ether,109-92-2,Ethers,,,,,,,
acetaldehyde,acetaldehyde,75-07-0,Carbonyls - Aldehydes,ethereal,"aldehydic, ethereal, fresh, fruity, musty, pungent",pungent,"aldehydic, fresh, green, pungent",2003,"Floral, Green Apple",0.0007
2-methylpropanal,isobutyraldehyde,78-84-2,Carbonyls - Aldehydes,aldehydic,"aldehydic, floral, fresh, green, pungent",aldehydic,"aldehydic, fresh, green, herbal, malty",2220,"Burnt, Caramel, Cocoa, Green, Malt",0.00032
propan-2-one,acetone,67-64-1,Carbonyls - Ketones,solvent,"apple, ethereal, pear, solvent",,,3326,Pungent,0.04
ethylformate,ethyl formate,109-94-4,Esters,ethereal,"alcoholic, cognac, ethereal, fermented, green, rose, winey",ethereal,"cognac, ethereal, fruity, grain, rain, sweet, winey",2434,Pungent,8.9
methylacetate,methyl acetate,79-20-9,Esters,ethereal,"cognac, estery, ethereal, fruity, rummy, solvent, sweet, winey",ethereal,"ethereal, fresh, fruity, green, rummy, whiskey",2676,"Ester, Green",0.002
ethylacetate,ethyl acetate,141-78-6,Esters,ethereal,"ethereal, fruity, grape, green, rummy, sweet, weedy",ethereal,"cherry, ethereal, fruity, grape, sweet",2414,"Aromatic, Brandy, Contact Glue, Grape",0.005
"1,1-diethoxyethane",acetal,105-57-7,Acetals,ethereal,"earthy, ethereal, green, nutty, sweet, vegetable",nutty,"earthy, nutty, vegetable",2002,"Creamy, Fruit, Pleasant, Tropical Fruit",0.0049
2-methylbutanal,2-methyl butyraldehyde,96-17-3,Carbonyls - Aldehydes,cocoa,"alcoholic, chocolate, cocoa, coffee, fatty, fermented, malty, musty, nutty, phenolic",fusel,"caramellic, cereal, cocoa, fruity, fusel, musty, nutty, rummy",2691,"Almond, Cocoa, Fermented, Hazelnut, Malt",0.001
3-methylbutanal,isovaleraldehyde,590-86-3,Carbonyls - Aldehydes,aldehydic,"aldehydic, chocolate, ethereal, fatty, peach",fruity,"chocolate, cocoa, dry, fruity, green, leafy, nutty",2692,,0.00015
ethanol,ethanol,64-17-5,Alcohols,alcoholic,"alcoholic, ethereal, medicinal",,,2419,,3.5
decane,decane,124-18-5,Hydrocarbons,,,,,,,10
2-methylpropylacetate,isobutyl acetate,110-19-0,Esters,fruity,"apple, banana, ethereal, fruity, sweet, tropical",fruity,"tutti frutti, banana, fruity, sweet",2175,"Apple, Banana, Floral, Herb",0.025
"2,6-dimethyloctane","2,6-dimethyl octane",2051-30-1,Hydrocarbons,,,,,,,
ethylbutanoate,ethyl butyrate,105-54-4,Esters,fruity,"apple, cognac, fruity, pine, pineapple, sweet, juicy fruit, tutti frutti",fruity,"tutti frutti, apple, ethereal, fresh, fruity, sweet",2427,"Apple, Butter, Cheese, Pineapple, Strawberry",0.000001
toluene,toluene,108-88-3,Hydrocarbons -benzenes,,sweet,,,,,0.024
propan-1-ol,propyl alcohol,71-23-8,Alcohols,alcoholic,"alcoholic, apple, fermented, fruity, fusel, musty, pear, sweet, tequila, yeasty",alcoholic,"bubble gum, alcoholic, apple, earthy, fermented, fruity, fusel, nutty, peanut, pear",2928,"Alcohol, Candy, Pungent",5.7
ethyl2-methylbutanoate,ethyl 2-methyl butyrate,7452-79-1,Esters,fruity,"apple, berry, estery, fresh, fruity, green, sharp, sweet, tropical",fruity,"apple, berry, cherry, fresh, fruity, grape, mango, pine, pineapple",2443,"Apple, Ester, Green Apple, Kiwi, Strawberry",0.000006
ethyl3-methylbutanoate,ethyl isovalerate,108-64-5,Esters,fruity,"apple, estery, fruity, green, orange, pine, pineapple, sharp, sweet, tutti frutti",fruity,"apple, fruity, green, metallic, pine, pineapple, spicy, sweet",2463,"Apple, Fruit, Pineapple, Sour",0.00001
(methyldisulfanyl)methane,dimethyl disulfide,624-92-0,Sulfur Compounds,sulfurous,"cabbage, onion, sulfurous, vegetable",sulfurous,"cabbage, creamy, malty, sulfurous",3536,"Cabbage, Garlic, Onion",0.00016
valeraldehyde diethyl acetal,valeraldehyde diethyl acetal,3658-79-5,Acetals,,,,,,,
"1,1-diethoxy-3-methylbutane",isovaleraldehyde diethyl acetal,3842-03-3,Acetals,,"fatty, fruity",,,4371,Fruit,
hexanal,hexanal,66-25-1,Carbonyls - Aldehydes,green,"aldehydic, clean, fatty, fresh, fruity, grassy, green, leafy, sweaty, vegetable, woody",green,"apple, citrus, fresh, grassy, green, orange, vegetable, woody",2557,"Apple, Fat, Fresh, Green, Oil",0.00032
undecane,undecane,1120-21-4,Hydrocarbons,,,,,,,10
2-methylpropan-1-ol,isobutyl alcohol,78-83-1,Alcohols,ethereal,"cortex, ethereal, winey",ethereal,"ethereal, fusel, whiskey",2179,"Apple, Bitter, Cocoa, Wine",0.36
3-methylbutylacetate,isoamyl acetate,123-92-2,Esters,fruity,"banana, estery, ethereal, fruity, ripe, solvent, sweet",fruity,"banana, fruity, green, ripe, sweet",2055,"Apple, Banana, Glue, Pear",0.00015
"1,4-xylene",para-xylene,106-42-3,Hydrocarbons -benzenes,,,,,,,0.53
"1,2-xylene",ortho-xylene,95-47-6,Hydrocarbons -benzenes,,geranium,,,,,0.45023
heptan-2-one,2-heptanone,110-43-0,Carbonyls - Ketones,cheesy,"banana, cheesy, coconut, creamy, fruity, green, herbal, ketonic, spicy, sweet, woody",cheesy,"cheesy, coconut, fruity, green, waxy",2544,"Blue Cheese, Fruit, Green, Nut, Spice",0.001
dodecane,dodecane,112-40-3,Hydrocarbons,,,,,,,10
3-methylbutylpropanoate,isoamyl propionate,105-68-0,Esters,fruity,"apple, banana, estery, fresh, fruity, green, pine, pineapple, ripe, sweet, tropical, fruit tropical fruit",fruity,"tutti frutti, apple, banana, fruity, melon, pine, pineapple, sweet, tropical",2082,"Apple, Apricot, Pineapple",0.0086
(4R)-1-methyl-4-prop-1-en-2-ylcyclohexene,d-limonene,5989-27-5,"terpenes, terpenoids",citrus,"camphoreous, citrus, herbal, terpenic",herbal,"aromatic, citrus, herbal, minty, pine, terpenic, tropical, woody",,,0.004
pyridine,pyridine,110-86-1,Bases,fishy,"ammoniacal, fishy, sour",,,2966,,0.00003
propylbenzene,phenylpropane,103-65-1,Hydrocarbons -benzenes,,,,,,,0.17712
3-methylbutan-1-ol,isoamyl alcohol,123-51-3,Alcohols,fermented,"alcoholic, banana, cognac, ethereal, fermented, fruity, fusel, molasses, pungent, whiskey",fusel,"banana, cognac, ethereal, fermented, fruity, fusel",2057,"Burnt, Cocoa, Floral, Malt",0.004
2-pentylfuran,2-pentyl furan,3777-69-3,Furans,fruity,"beany, earthy, fruity, green, metallic, vegetable",green,"caramellic, cooked, green, musty, waxy",3317,"Butter, Floral, Fruit, Green Bean",0.0058
ethylhexanoate,ethyl hexanoate,123-66-0,Esters,fruity,"apple, banana, estery, fatty, fruity, green, pine, pineapple, sweet, waxy",fruity,"apple, banana, estery, fruity, green, pine, pineapple, sweet, waxy",2439,"Apple Peel, Brandy, Fruit Gum, Overripe Fruit, Pineapple",0.00001
styrene,styrene,100-42-5,Hydrocarbons -benzenes,balsamic,"almond, balsamic, floral, plastic, sweet",,,,,0.0036
3-methylbutylbutanoate,isoamyl butyrate,106-27-4,Esters,fruity,"apple, apricot, banana, estery, fruity, green, melon, pear, sweet, tropical, tutti frutti",waxy,"apple, berry, estery, fruity, green, melon, sweet, waxy",2060,Fruit,0.00013
hexylacetate,hexyl acetate,142-92-7,Esters,fruity,"apple, banana, fatty, fresh, fruity, green, pear, sweet",fruity,"banana peel, apple, fresh, fruity, green, pear, sweet",2565,"Apple, Banana, Grass, Herb, Pear",0.002
ethyl2-oxopropanoate,ethyl pyruvate,617-35-6,Esters,ethereal,"caramellic, ethereal, fruity, rummy, sharp, sweet, vegetable",rummy,"ethereal, fruity, rummy, sweet",2457,Floral,
2-methylpyrazine,2-methyl pyrazine,109-08-0,pyrazines,nutty,"brown, chocolate, cocoa, earthy, green, musty, nutty, peanut, roasted, nut skin",nutty,"astringent, brown, musty, nutty, roasted, stringent",3309,"Cocoa, Green, Hazelnut, Popcorn, Roasted",0.06
"1,3,5-trimethylbenzene",mesitylene,108-67-8,Hydrocarbons -benzenes,,,,,,,0.003
(Z)-2-(2-pentenyl)furan,(Z)-2-(2-pentenyl) furan,70424-13-4,Furans,,,,,,,
3-hydroxybutan-2-one,acetoin,513-86-0,Carbonyls - Ketones,buttery,"buttery, creamy, dairy, fatty, milky, sweet",creamy,"buttery, creamy, dairy, milky, oily, sweet, yogurt",2008,"Butter, Creamy, Green Pepper",0.014
"1,1,3-triethoxypropane",3-ethoxypropanal diethyl acetal,7789-92-6,Acetals,,,,,,,
butylbenzene,butyl benzene,104-51-8,Hydrocarbons -benzenes,,,,,,,0.1
propylhexanoate,propyl hexanoate,626-77-7,Esters,fruity,"apple, fruity, green, juicy, pine, pineapple, sweet, tropical",fruity,"apple, fresh, fruity, green, juicy, pine, pineapple, sweet, tropical",2949,"Berry, Fruit, Petrol, Pineapple, Roasted Garlic",
1-methyl-3-propan-2-ylbenzene,meta-cymene,535-77-3,"terpenes, terpenoids",,,,,,,0.8
2-hexylfuran,2-hexyl furan,3777-70-6,Furans,,,,,,,
ethylheptanoate,ethyl heptanoate,106-30-9,Esters,fruity,"apple, banana, berry, cognac, estery, fruity, green, pine, pineapple, rummy, seedy, sweet, winey",fruity,"apple, banana, berry, fruity, oily, pine, pineapple, raw, spicy, strawberry",2437,"Brandy, Fruit, Wine",0.0019
"2,5-dimethylpyrazine","2,5-dimethyl pyrazine",123-32-0,pyrazines,chocolate,"chocolate, cocoa, earthy, grassy, medicinal, musty, nutty, peanut, powdery, roasted, woody, beefy roasted beefy",musty,"cocoa, fatty, musty, nutty, oily, potato",3272,"Cocoa, Roast Beef, Roasted Nut",0.08
2-ethylpyrazine,2-ethyl pyrazine,13925-00-3,pyrazines,nutty,"cocoa, coffee, fermented, meaty, musty, nutty, peanut, roasted, woody, peanut butter",nutty,"cocoa, earthy, fishy, musty, nutty, potato, woody",3281,"Burnt, Green, Iron Scorch, Must, Peanut Butter, Roasted, Rum, Wood",4
dimethoxymethane,dimethoxymethane,109-87-5,Acetals,,,,,,,
ethyl2-hydroxypropanoate,ethyl lactate,97-64-3,Esters,fruity,"acidic, brown, butterscotch, buttery, ethereal, fruity, sharp, sweet, tart",fruity,"apple, brown, caramellic, creamy, fruity, pine, pineapple, sweet",2440,"Cheese, Floral, Fruit, Pungent, Rubber",50
2-vinyl thiophene,2-vinyl thiophene,1918-82-7,Sulfur Compounds,,,styrene,styrene,,,
ethyl(2S)-2-hydroxypropanoate,ethyl (S)-(-)-lactate,687-47-8,Esters,,,,,,,
2-methylpropylhexanoate,isobutyl hexanoate,105-79-3,Esters,fruity,"apple, earthy, estery, fruity, green, peach, pine, pineapple, sour, sweet, tropical, apple skin, apple green apple",fruity,"apple green apple, fruit ripe fruit, apple skin, apple, estery, foliage, fruity, green, pine, pineapple, ripe, sweet, tropical",2202,"Green, Spice",
"2,3-dimethylpyrazine","2,3-dimethyl pyrazine",5910-89-4,pyrazines,nutty,"caramellic, cocoa, coffee, musty, nutty, potato, powdery, roasted, walnut, nut skin, peanut butter",nutty,"coffee roasted coffee, corn chip, nut skin, bready, cocoa, coffee, musty, nutty, peanut, powdery, roasted, walnut",3271,"Caramel, Cocoa, Hazelnut, Peanut Butter, Roasted",0.4
2-ethylhexylacetate,2-ethyl hexyl acetate,103-09-3,Esters,earthy,"dirty, earthy, herbal, humus",,,,,0.043
nonan-2-one,2-nonanone,821-55-6,Carbonyls - Ketones,fruity,"cheesy, coconut, earthy, fresh, fruity, green, herbal, soapy, sweet, waxy, weedy",cheesy,"buttery, cheesy, dairy, dirty, fruity, green",2785,"Fragrant, Fruit, Green, Hot Milk",0.005
2-ethyl-6-methylpyrazine,2-ethyl-6-methyl pyrazine,13925-03-6,pyrazines,potato,"potato, roasted",nutty,"hazelnut roasted hazelnut, hazelnut, nutty, roasted",3919,"Green, Nuts, Roasted",0.04
tetradecane,tetradecane,629-59-4,Hydrocarbons,,waxy,,,,,1
nonanal,nonanal (aldehyde C-9),124-19-6,Carbonyls - Aldehydes,aldehydic,"aldehydic, citrus, cucumber, fatty, fresh, green, orris, peely, rose, waxy, lemon peel, orange peel",aldehydic,"potato raw potato, melon rind, aldehydic, citrus, coconut, cucumber, melon, nutty, oily, potato, raw, rindy",2782,"Fat, Floral, Green, Lemon",0.00032
