CAS,Name_Common,Desc_Korean,Threshold,Is_AAC,Desc_English,MW,LogP,Groups,SMILES
109-92-2,Ethyl vinyl ether,"지방취, 초콜릿",0.15,False,"Chocolate, Fatty",72.11,1.1664,"Alkene, Ether",CCOC=C
75-07-0,acetaldehyde,퀴퀴함,0.7,True,Musty,44.05,0.2052,Aldehyde,CC=O
78-84-2,isobutyraldehyde,꽃,0.0,False,Floral,72.107,0.8412999999999999,Carbonyls - Aldehydes,CC(C)C=O
67-64-1,acetone,"배, 사과",0.0,False,"Apple, Pear",58.08,0.5952999999999999,Carbonyls - Ketones,CC(=O)C
109-94-4,ethyl formate,"발효취, 장미",0.0,False,"Fermented, Rose",74.07900000000001,0.1793,Esters,CCOC=O
79-20-9,methyl acetate,단향,0.0,False,Sweet,74.07900000000001,0.1793,Esters,CC(=O)OC
141-78-6,ethyl acetate,"단향, 포도",0.0,False,"Grape, Sweet",88.106,0.5694,Esters,CCOC(=O)C
105-57-7,acetal,"견과류, 단향, 배, 흙향",4.9,True,"Earthy, Nutty, Pear, Sweet",118.176,1.4054,Acetals,CCOC(C)OCC
96-17-3,2-methyl butyraldehyde,"견과류, 발효취, 엿기름(몰트), 지방취, 초콜릿, 커피, 퀴퀴함",0.0,False,"Chocolate, Coffee, Fatty, Fermented, Malt, Musty, Nutty",86.13399999999999,1.2314,Carbonyls - Aldehydes,CCC(C)C=O
590-86-3,isovaleraldehyde,"복숭아, 지방취, 초콜릿",0.15,True,"Chocolate, Fatty, Peach",86.13399999999999,1.2314,Carbonyls - Aldehydes,CC(C)CC=O
64-17-5,ethanol,알코올,3500.0,True,"alcoholic, ethereal, medicinal",46.069,-0.0014,Alcohols,CCO
124-18-5,decane,,0.0,False,,142.286,4.147000000000004,Hydrocarbons,CCCCCCCCCC
110-19-0,isobutyl acetate,"꽃, 단향, 바나나, 사과",25.0,True,"Apple, Banana, Floral, Sweet",116.15999999999998,1.2055,Esters,CC(C)COC(=O)C
2051-30-1,"2,6-dimethyl octane",,0.0,False,,142.286,3.858800000000003,Hydrocarbons,CCC(C)CCCC(C)C
105-54-4,ethyl butyrate,"단향, 사과, 솔잎, 오렌지, 파인애플",0.001,True,"Apple, Orange, Pine, Pineapple, Sweet",116.15999999999998,1.3496,Esters,CCCC(=O)OCC
108-88-3,toluene,단향,0.0,False,Sweet,92.141,1.99502,Hydrocarbons -benzenes,CC1=CC=CC=C1
71-23-8,propyl alcohol,"단향, 발효취, 배, 사과, 퀴퀴함, 효모(누룩)",0.0,False,"Apple, Fermented, Musty, Pear, Sweet, Yeast",60.096,0.3887,Alcohols,CCCO
7452-79-1,ethyl 2-methyl butyrate,"날카로움, 단향, 베리류, 사과, 오렌지",0.006,True,"Apple, Berry, Orange, Sharp, Sweet",130.18699999999998,1.5956,Esters,CCC(C)C(=O)OCC
108-64-5,ethyl isovalerate,"날카로움, 단향, 사과, 솔잎, 오렌지, 파인애플",0.01,True,"Apple, Orange, Pine, Pineapple, Sharp, Sweet",130.18699999999998,1.5956,Esters,CCOC(=O)CC(C)C
624-92-0,dimethyl disulfide,양배추,0.0,False,Cabbage,94.204,1.6274,Sulfur Compounds,CSSC
3658-79-5,valeraldehyde diethyl acetal,,0.0,False,,160.25699999999998,2.5757000000000003,Acetals,CCCCC(OCC)OCC
3842-03-3,isovaleraldehyde diethyl acetal,지방취,0.0,False,Fatty,160.25699999999998,2.4316000000000004,Acetals,CCOC(CC(C)C)OCC
66-25-1,hexanal,"나무, 잔디, 지방취",0.0,False,"Fatty, Grassy, Woody",100.161,1.7656,Carbonyls - Aldehydes,CCCCCC=O
1120-21-4,undecane,,0.0,False,,156.313,4.537100000000004,Hydrocarbons,CCCCCCCCCCC
78-83-1,isobutyl alcohol,바나나,360.0,True,Banana,74.12299999999999,0.6347,Alcohols,CC(C)CO
123-92-2,isoamyl acetate,"단향, 바나나",0.15,True,"Banana, Sweet",130.18699999999998,1.5956,Esters,CC(C)CCOC(=O)C
106-42-3,para-xylene,,0.0,False,,106.168,2.30344,Hydrocarbons -benzenes,CC1=CC=C(C=C1)C
95-47-6,ortho-xylene,,0.0,False,geranium,106.168,2.30344,Hydrocarbons -benzenes,CC1=CC=CC=C1C
110-43-0,2-heptanone,"나무, 단향, 바나나, 코코넛, 크리미, 향신료, 허브류",0.0,False,"Banana, Coconut, Creamy, Herbal, Spicy, Sweet, Woody",114.188,2.1557000000000004,Carbonyls - Ketones,CCCCCC(=O)C
112-40-3,dodecane,,0.0,False,,170.33999999999995,4.9272000000000045,Hydrocarbons,CCCCCCCCCCCC
105-68-0,isoamyl propionate,"단향, 바나나, 사과, 솔잎, 열대과일, 파인애플",8.6,True,"Apple, Banana, Pine, Pineapple, Sweet, Tropical fruit",144.21399999999997,1.9857,Esters,CCC(=O)OCCC(C)C
5989-27-5,d-limonene,"시트러스, 오렌지, 허브류",4.0,True,"Citrus, Herbal, Orange",136.238,3.308900000000002,"terpenes, terpenoids",CC1=CC[C@@H](CC1)C(=C)C
110-86-1,pyridine,신맛,0.0,False,Sour,79.10199999999998,1.0816,Bases,C1=CC=NC=C1
103-65-1,phenylpropane,,0.0,False,,120.19499999999996,2.639100000000001,Hydrocarbons -benzenes,CCCC1=CC=CC=C1
123-51-3,isoamyl alcohol,"바나나, 발효취",4.0,True,"Banana, Fermented",88.14999999999999,1.0248,Alcohols,CC(C)CCO
3777-69-3,2-pentyl furan,"금속맛, 풋콩, 흙향",5.8,True,"Bean, Earthy, Metallic",138.20999999999998,3.012300000000001,Furans,CCCCCC1=CC=CO1
123-66-0,ethyl hexanoate,"단향, 바나나, 사과, 솔잎, 왁시, 지방취, 파인애플",0.01,True,"Apple, Banana, Fatty, Pine, Pineapple, Sweet, Waxy",144.21399999999997,2.1298000000000004,Esters,CCCCCC(=O)OCC
100-42-5,styrene,"꽃, 단향, 아몬드, 플라스틱",0.0,False,"Almond, Floral, Plastic, Sweet",104.15199999999996,2.3296,Hydrocarbons -benzenes,C=CC1=CC=CC=C1
106-27-4,isoamyl butyrate,"단향, 멜론, 바나나, 배, 사과, 살구",0.0,False,"Apple, Apricot, Banana, Melon, Pear, Sweet",158.241,2.375800000000001,Esters,CCCC(=O)OCCC(C)C
142-92-7,hexyl acetate,"단향, 바나나, 배, 사과, 지방취",0.0,False,"Apple, Banana, Fatty, Pear, Sweet",144.214,2.1298000000000004,Esters,CCCCCCOC(=O)C
617-35-6,ethyl pyruvate,"날카로움, 단향, 캐러멜",0.0,False,"Caramel, Sharp, Sweet",116.116,0.1384999999999999,Esters,CCOC(=O)C(=O)C
109-08-0,2-methyl pyrazine,"견과류, 초콜릿, 퀴퀴함, 흙향",0.0,False,"Chocolate, Earthy, Musty, Nutty",94.117,0.7850199999999999,pyrazines,CC1=NC=CN=C1
108-67-8,mesitylene,,0.0,False,,120.19499999999998,2.611860000000001,Hydrocarbons -benzenes,CC1=CC(=CC(=C1)C)C
70424-13-4,(Z)-2-(2-pentenyl) furan,,0.0,False,,136.194,2.7883000000000013,Furans,CC/C=C\CC1=CC=CO1
513-86-0,acetoin,"단향, 버터, 유제품, 지방취, 크리미",0.0,False,"Buttery, Creamy, Dairy, Fatty, Sweet",88.106,-0.0438,Carbonyls - Ketones,CC(C(=O)C)O
7789-92-6,3-ethoxypropanal diethyl acetal,,0.0,False,,176.25599999999997,1.8121,Acetals,CCOCCC(OCC)OCC
104-51-8,butyl benzene,,0.0,False,,134.22199999999998,3.029200000000001,Hydrocarbons -benzenes,CCCCC1=CC=CC=C1
